Transaction_Date,Category,Amount,Income,Age,Dependents
2024-01-01,Groceries,1065.9684060095547,5000,30,2
2024-01-01,Transport,739.703304146237,5000,30,2
2024-01-01,Eating_Out,1264.9936857959779,5000,30,2
2024-01-01,Entertainment,1194.064545905197,5000,30,2
2024-01-01,Utilities,1044.7418453516186,5000,30,2
2024-01-01,Healthcare,1059.8731960842624,5000,30,2
2024-01-01,Education,1062.392860570568,5000,30,2
2024-01-01,Miscellaneous,1130.6546618841658,5000,30,2
2024-01-02,Groceries,1209.5529376955822,5000,30,2
2024-01-02,Transport,988.2732104893878,5000,30,2
2024-01-02,Eating_Out,1040.9384357737913,5000,30,2
2024-01-02,Entertainment,1149.8371531841576,5000,30,2
2024-01-02,Utilities,1272.64855804876,5000,30,2
2024-01-02,Healthcare,821.4999185643298,5000,30,2
2024-01-02,Education,1095.521073053721,5000,30,2
2024-01-02,Miscellaneous,952.9694582308844,5000,30,2
2024-01-03,Groceries,1340.6361100314864,5000,30,2
2024-01-03,Transport,974.656003814159,5000,30,2
2024-01-03,Eating_Out,1281.274722668639,5000,30,2
2024-01-03,Entertainment,1427.9088287490872,5000,30,2
2024-01-03,Utilities,1058.989653918673,5000,30,2
2024-01-03,Healthcare,1055.264192914501,5000,30,2
2024-01-03,Education,1003.8294846245936,5000,30,2
2024-01-03,Miscellaneous,1393.4667501250226,5000,30,2
2024-01-04,Groceries,1198.823780063431,5000,30,2
2024-01-04,Transport,1310.6177743174103,5000,30,2
2024-01-04,Eating_Out,930.4215264144697,5000,30,2
2024-01-04,Entertainment,1277.0206919613784,5000,30,2
2024-01-04,Utilities,1063.3858753007285,5000,30,2
2024-01-04,Healthcare,922.5001394037267,5000,30,2
2024-01-04,Education,1138.1468194893769,5000,30,2
2024-01-04,Miscellaneous,1055.7267784952685,5000,30,2
2024-01-05,Groceries,1066.752769301022,5000,30,2
2024-01-05,Transport,877.3778427026864,5000,30,2
2024-01-05,Eating_Out,1112.1293757108215,5000,30,2
2024-01-05,Entertainment,992.8520435700864,5000,30,2
2024-01-05,Utilities,1092.641076845506,5000,30,2
2024-01-05,Healthcare,1421.1167710589739,5000,30,2
2024-01-05,Education,818.6968363153164,5000,30,2
2024-01-05,Miscellaneous,929.0828753422588,5000,30,2
2024-01-06,Groceries,826.8653992432207,5000,30,2
2024-01-06,Transport,731.4284063899067,5000,30,2
2024-01-06,Eating_Out,943.0221481509057,5000,30,2
2024-01-06,Entertainment,1192.7637518831282,5000,30,2
2024-01-06,Utilities,1131.3644875980906,5000,30,2
2024-01-06,Healthcare,766.9263245948117,5000,30,2
2024-01-06,Education,1076.1425262325292,5000,30,2
2024-01-06,Miscellaneous,1349.8042440205265,5000,30,2
2024-01-07,Groceries,1046.0917534696946,5000,30,2
2024-01-07,Transport,1018.8309168895432,5000,30,2
2024-01-07,Eating_Out,1021.6432801574159,5000,30,2
2024-01-07,Entertainment,1354.4333817505003,5000,30,2
2024-01-07,Utilities,1051.0273420703425,5000,30,2
2024-01-07,Healthcare,1121.1453408392333,5000,30,2
2024-01-07,Education,1208.8758977152156,5000,30,2
2024-01-07,Miscellaneous,875.5646981305094,5000,30,2
2024-01-08,Groceries,1353.3645115448428,5000,30,2
2024-01-08,Transport,1152.985384055099,5000,30,2
2024-01-08,Eating_Out,933.2666019729243,5000,30,2
2024-01-08,Entertainment,907.7263598506161,5000,30,2
2024-01-08,Utilities,1135.729361277068,5000,30,2
2024-01-08,Healthcare,838.2019766744133,5000,30,2
2024-01-08,Education,990.155641213395,5000,30,2
2024-01-08,Miscellaneous,919.2981970808304,5000,30,2
2024-01-09,Groceries,627.2287829322333,5000,30,2
2024-01-09,Transport,983.0600063057543,5000,30,2
2024-01-09,Eating_Out,1230.5967681226452,5000,30,2
2024-01-09,Entertainment,886.510954374774,5000,30,2
2024-01-09,Utilities,839.2049538619466,5000,30,2
2024-01-09,Healthcare,1030.324066089381,5000,30,2
2024-01-09,Education,820.015415883784,5000,30,2
2024-01-09,Miscellaneous,1195.9909471072685,5000,30,2
2024-01-10,Groceries,413.7318637139824,5000,30,2
2024-01-10,Transport,989.000745517324,5000,30,2
2024-01-10,Eating_Out,848.9573216583772,5000,30,2
2024-01-10,Entertainment,975.9511961368145,5000,30,2
2024-01-10,Utilities,885.314807850035,5000,30,2
2024-01-10,Healthcare,950.5255769318138,5000,30,2
2024-01-10,Education,1113.3056554509965,5000,30,2
2024-01-10,Miscellaneous,1413.3191694536004,5000,30,2
2024-01-11,Groceries,612.4803959004594,5000,30,2
2024-01-11,Transport,1019.9360997965475,5000,30,2
2024-01-11,Eating_Out,981.5527474453212,5000,30,2
2024-01-11,Entertainment,1010.4148352904665,5000,30,2
2024-01-11,Utilities,1000.7642781065877,5000,30,2
2024-01-11,Healthcare,997.406911051925,5000,30,2
2024-01-11,Education,891.1123247701387,5000,30,2
2024-01-11,Miscellaneous,716.6771326386224,5000,30,2
2024-01-12,Groceries,1150.7025648809363,5000,30,2
2024-01-12,Transport,1209.975690413374,5000,30,2
2024-01-12,Eating_Out,900.0847629509041,5000,30,2
2024-01-12,Entertainment,1236.8665505156744,5000,30,2
2024-01-12,Utilities,872.1615870519302,5000,30,2
2024-01-12,Healthcare,1072.282481695097,5000,30,2
2024-01-12,Education,620.7070218356425,5000,30,2
2024-01-12,Miscellaneous,701.5413183112182,5000,30,2
2024-01-13,Groceries,1158.6744257684927,5000,30,2
2024-01-13,Transport,1177.6454784426317,5000,30,2
2024-01-13,Eating_Out,1083.140487537838,5000,30,2
2024-01-13,Entertainment,821.4322081467592,5000,30,2
2024-01-13,Utilities,938.5626019837665,5000,30,2
2024-01-13,Healthcare,1357.71860147902,5000,30,2
2024-01-13,Education,1350.4751427012172,5000,30,2
2024-01-13,Miscellaneous,1267.2686747982843,5000,30,2
2024-01-14,Groceries,1071.6775199065069,5000,30,2
2024-01-14,Transport,1025.3531662835553,5000,30,2
2024-01-14,Eating_Out,1069.1462724740948,5000,30,2
2024-01-14,Entertainment,691.8350431258104,5000,30,2
2024-01-14,Utilities,914.5962246445289,5000,30,2
2024-01-14,Healthcare,1218.7600513974182,5000,30,2
2024-01-14,Education,957.8804343981094,5000,30,2
2024-01-14,Miscellaneous,1047.7407341280673,5000,30,2
2024-01-15,Groceries,1150.3386109224953,5000,30,2
2024-01-15,Transport,912.3989946180462,5000,30,2
2024-01-15,Eating_Out,1185.3264640640157,5000,30,2
2024-01-15,Entertainment,718.8452791890306,5000,30,2
2024-01-15,Utilities,1276.102517721059,5000,30,2
2024-01-15,Healthcare,812.5198709644483,5000,30,2
2024-01-15,Education,1251.9217063201204,5000,30,2
2024-01-15,Miscellaneous,928.9477218261233,5000,30,2
